url,clicks_16mo,impressions_16mo,decision,target,reason
http://www.roarsinc.com/,198,4969,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/,153,18041,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/work/the-presidents-club/,10,462,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/ui-and-ux-design-agency-birmingham/,4,491,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/work/companyguru/,4,343,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/ui-ux-design-services-london/,3,1349,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/our-journal/the-dark-side-of-ux-design-how-dark-mode-is-revolutionizing-user-experience/,3,146,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/industries/concierge-app-development/,2,1740,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/privacy-policy/,2,395,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/work/community-social-residential-community-app/,2,102,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/industries/healthcare-app-development-company/,1,2800,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/our-journal/end-to-end-development-seamlessly-transforming-concepts-into-market-ready-products/,1,2347,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/our-journal/5-simple-guidelines-for-mobile-app-design/,1,983,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/ui-ux-design-services-bristol/,1,554,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/our-journal/from-empathy-to-iteration-the-stages-of-design-thinking-for-successful-product-development/,1,416,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/product-development-agency-in-birmingham/,1,319,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/work/warehouse-compliance-checklist-app/,1,255,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/work/gymbait/,1,240,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/work/,1,236,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/industries/travel-and-hospitality-app-development/,1,235,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/industries/retail-ecommerce-development/,1,233,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/our-journal/utilizing-sensation-and-perception-in-ux-designing-processes-for-2023/,1,178,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/resources/innovation-flowchart/,1,139,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/startup-consultant-services/,1,128,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/resources/,1,127,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/about-us/,1,84,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/our-journal/steps-towards-success-with-mvp-development/,1,35,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/work/club-social/,1,27,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/about-us,1,3,KEEP,same,Core business page. Migrate at the identical URL.
https://www.roarsinc.com/our-journal/loyalty-reward-program-app,1,2,KEEP,same,Earned clicks. Migrate at the identical slug.
https://www.roarsinc.com/industries/logistics-transportation-app-development/,0,881,KEEP,same,Core business page. Migrate at the identical URL.
